AIRLINE,WEEKDAY,DEP_DELAY
AA,1,14.385610347615199
AA,2,9.101889893179951
AA,3,9.285498489425981
AA,4,11.764840182648403
AA,5,11.271132376395535
AA,6,12.855978260869565
AA,7,10.535384615384615
AS,1,1.7118644067796611
AS,2,-0.8584905660377359
AS,3,-2.4434782608695653
AS,4,7.536363636363636
AS,5,2.220183486238532
AS,6,1.796116504854369
AS,7,2.8317757009345796
B6,1,13.685714285714285
B6,2,14.743589743589743
B6,3,10.974358974358974
B6,4,20.69047619047619
B6,5,11.214285714285714
B6,6,10.783333333333333
B6,7,16.511363636363637
DL,1,7.6923076923076925
DL,2,7.798429319371728
DL,3,7.925209542230819
DL,4,8.829552819183409
DL,5,6.915287888815354
DL,6,5.935897435897436
DL,7,5.319300518134715
EV,1,12.458920187793428
EV,2,7.911421911421911
EV,3,9.2903981264637
EV,4,9.465495608531995
EV,5,7.831121833534379
EV,6,6.528057553956835
EV,7,9.698924731182796
F9,1,13.207650273224044
F9,2,15.32972972972973
F9,3,16.333333333333332
F9,4,10.655913978494624
F9,5,16.305699481865286
F9,6,12.46368715083799
F9,7,15.626315789473685
HA,1,7.315789473684211
HA,2,15.157894736842104
HA,3,0.7894736842105263
HA,4,-1.7333333333333334
HA,5,-1.7272727272727273
HA,6,-5.0
HA,7,-2.8823529411764706
MQ,1,11.455723542116631
MQ,2,10.918326693227092
MQ,3,11.954365079365079
MQ,4,10.590405904059041
MQ,5,12.368098159509202
MQ,6,7.0594900849858355
MQ,7,12.275210084033613
NK,1,16.643979057591622
NK,2,15.836283185840708
NK,3,14.849056603773585
NK,4,20.178571428571427
NK,5,23.853448275862068
NK,6,19.451776649746193
NK,7,25.322274881516588
OO,1,11.078781512605042
OO,2,9.095092024539877
OO,3,9.433962264150944
OO,4,7.76882290562036
OO,5,9.532467532467532
OO,6,8.800988875154511
OO,7,11.91870824053452
UA,1,18.46398659966499
UA,2,15.762243989314337
UA,3,18.146724890829695
UA,4,16.66522864538395
UA,5,14.048885077186965
UA,6,12.762331838565023
UA,7,16.857838364167478
US,1,7.207373271889401
US,2,1.165137614678899
US,3,4.5159817351598175
US,4,5.615079365079365
US,5,4.65296803652968
US,6,2.4150943396226414
US,7,4.665369649805448
VX,1,13.347826086956522
VX,2,4.2
VX,3,2.6557377049180326
VX,4,11.60431654676259
VX,5,9.550335570469798
VX,6,6.495652173913044
VX,7,16.13533834586466
WN,1,14.17940466613033
WN,2,12.728651237031125
WN,3,11.463007159904535
WN,4,13.893312101910828
WN,5,13.10217755443886
WN,6,9.925281473899693
WN,7,12.619006102877071
